,product_url,overall_ratings,is_vegan,is_cruelty_free,award_wins,is_clean_product,has_clinical_results,has_alcohol,price,sizing_options_count,image_count,video_count,combination_skin_type,dry_skin_type,normal_skin_type,oily_skin_type,sensitive_skin_type,wrinkles_skincare_concerns,dryness_skincare_concerns,dark_circles_skincare_concerns,uneven_tone_skincare_concerns,loss_of_firmness_skincare_concerns,acne_skincare_concerns,dark_spots_skincare_concerns,targets_signs_of_aging_skincare_concerns,puffiness_skincare_concerns,lightweight_liquid_skincare_concerns,uneven_texture_skincare_concerns,redness_skincare_concerns,oiliness_skincare_concerns,makeup_removal_skincare_concerns,pores_skincare_concerns,from_famous_brand
0,https://www.sephora.com/product/biossance-squalane-elderberry-jelly-cleanser-P462829?icid2=products grid:p462829,4.0,1,1,0,1,0,1,28.0,1,7,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,https://www.sephora.com/product/anti-aging-cleansing-gel-P39274?icid2=products grid:p39274,4.5,0,0,0,0,1,0,39.0,2,5,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,https://www.sephora.com/product/clarifying-cleanser-P429954?icid2=products grid:p429954,4.0,0,1,0,1,0,1,72.0,2,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
3,https://www.sephora.com/product/mario-badescu-buttermilk-moisturizer-P440492?icid2=products grid:p440492,4.0,0,1,0,0,0,1,18.0,1,2,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,https://www.sephora.com/product/clean-bee-ultra-gentle-facial-cleanser-P431187?icid2=products grid:p431187,4.0,0,1,0,1,0,1,28.0,1,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,https://www.sephora.com/product/it-cosmetics-confidence-in-your-beauty-sleep-night-cream-P454837?icid2=products grid:p454837,4.5,0,0,0,0,0,1,54.0,1,7,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,https://www.sephora.com/product/the-ordinary-deciem-vitamin-c-suspension-23-ha-spheres-2-P427410?icid2=products grid:p427410,3.5,0,0,0,0,0,1,5.8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://www.sephora.com/product/barrier-nutrient-water-misting-tonic-P450600?icid2=products grid:p450600,4.0,1,1,0,1,0,1,22.0,1,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,https://www.sephora.com/product/yaupon-tea-glow-awakening-moisturizer-P467984?icid2=products grid:p467984,4.5,1,1,0,1,0,1,39.0,1,4,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,https://www.sephora.com/product/renewed-hope-in-jar-spf-30-P393516?icid2=products grid:p393516,4.0,0,0,0,0,1,1,39.0,1,2,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
